arrival_time_ms,input_length
0,63007
0,6782
0,12413
0,916
0,16517
3001,6101
3001,1134
3001,1249
3001,8249
3001,5485
3001,1827
3001,28631
3001,4936
3001,896
6001,895
6001,4208
6001,6744
6001,11060
6001,41785
6001,4028
6001,14215
9000,24856
9000,26144
9000,9667
9000,2596
9000,11496
9000,1890
9000,1714
9000,19040
12001,901
12001,1524
12001,3121
12001,1436
12001,5555
12001,1008
15001,47810
15001,896
15001,973
15001,5087
15001,3849
15001,8847
15001,16630
15001,6295
18001,1743
18001,35125
18001,18038
18001,899
18001,4879
18001,8315
18001,24808
21000,1328
21000,18909
21000,11850
21000,3889
21000,48126
21000,6338
21000,5376
24001,1777
24001,1301
24001,20283
24001,7962
24001,8406
24001,6932
24001,16304
24001,2416
24001,898
24001,47756
24001,28994
27000,27367
27000,903
27000,24486
27000,16339
27000,35428
27000,16103
27000,8223
27000,898
27000,19035
27000,4266
30000,1399
30000,9792
30000,12206
30000,58989
30000,5724
30000,1528
30000,897
30000,2018
30000,13933
33001,4576
33001,7973
33001,925
33001,1708
33001,6742
33001,7892
33001,9888
33001,8661
33001,7098
33001,1019
33001,6861
33001,4181
36001,1305
36001,923
36001,24158
36001,3049
36001,896
36001,1663
36001,10245
36001,20304
36001,9728
36001,1553
39000,13460
39000,2811
39000,6108
39000,32238
39000,13338
39000,1178
39000,3153
39000,4220
39000,11015
39000,4341
39000,1369
39000,33729
39000,1414
42001,9449
42001,4436
42001,20264
42001,10001
42001,12443
42001,6296
42001,900
42001,19457
42001,1820
42001,5569
42001,1713
42001,3925
42001,3238
42001,12524
45000,8549
45000,898
45000,896
45000,4093
45000,10050
45000,7032
45000,3145
45000,894
45000,28119
45000,45399
48001,10915
48001,8850
48001,1950
48001,4233
48001,897
48001,24211
48001,24668
51000,1249
51000,903
51000,936
51000,893
51000,27048
51000,6632
51000,3231
51000,8615
51000,7376
51000,9189
51000,24083
54001,6612
54001,5809
54001,55652
54001,930
54001,12748
54001,4653
54001,939
54001,30363
54001,11074
54001,12365
54001,1236
54001,16132
54001,3563
57001,14946
57001,949
57001,9253
57001,7294
57001,16689
60001,7187
60001,4318
60001,9340
60001,15501
60001,3124
60001,2896
60001,15076
60001,8622
60001,996
63001,8240
63001,21117
63001,43236
63001,10307
63001,895
63001,16997
63001,1011
63001,1352
63001,2711
66000,5062
66000,2647
66000,5577
66000,7402
66000,23551
66000,23563
66000,10331
66000,32759
66000,1408
66000,4895
66000,4120
69001,43044
69001,3046
69001,14133
69001,5903
69001,28432
69001,5951
69001,26671
69001,6396
69001,5069
69001,5237
69001,24081
69001,900
69001,1105
69001,12150
69001,26061
69001,895
69001,23913
69001,3415
69001,4511
72001,4829
72001,1407
72001,2107
72001,9464
72001,5070
72001,1235
72001,903
72001,3268
72001,2563
75001,1061
75001,6126
75001,3578
75001,16237
75001,9584
75001,19022
75001,5506
75001,28366
75001,1147
75001,8539
75001,13803
75001,1306
78001,16723
78001,30201
78001,14378
78001,10986
78001,9527
78001,6953
78001,1350
78001,16580
78001,13245
81000,17877
81000,1004
81000,994
81000,24240
81000,5876
81000,17112
81000,18814
81000,8839
81000,2165
81000,28042
81000,10949
84001,5001
84001,14949
84001,1568
84001,2332
84001,32405
84001,14047
84001,5601
84001,990
84001,895
84001,15234
84001,12984
84001,10846
84001,7934
87000,1320
87000,5366
87000,6867
87000,5920
87000,6655
87000,19132
87000,16599
87000,4473
87000,18542
87000,8782
87000,5658
90001,9253
90001,9849
90001,11116
90001,4741
90001,7648
90001,899
90001,898
90001,895
90001,21078
90001,974
90001,18532
90001,1249
90001,10927
90001,17751
93000,9401
93000,9589
93000,4725
93000,1293
93000,22387
93000,8663
93000,5854
93000,897
93000,4373
96001,3733
96001,10805
96001,7358
96001,28435
96001,3808
96001,2137
96001,5361
96001,6398
96001,2965
96001,8344
99000,6935
99000,11669
99000,4112
99000,42290
99000,1638
99000,4007
99000,896
102001,2080
102001,15251
102001,28833
102001,11339
102001,1002
102001,4697
102001,1246
102001,1616
102001,27761
102001,15090
102001,937
102001,6529
105000,39682
105000,19778
105000,3614
105000,1123
105000,10507
105000,9307
105000,28513
105000,7597
108001,5782
108001,9154
108001,19119
108001,10617
108001,894
108001,4854
108001,36129
108001,899
108001,2536
108001,4784
111001,13358
111001,2273
111001,897
111001,894
111001,52875
111001,6671
111001,5687
111001,2480
114000,20424
114000,8871
114000,12147
114000,30469
114000,2982
114000,3314
114000,5243
114000,15885
117001,917
117001,34755
117001,41487
117001,9635
117001,1203
117001,29518
117001,11947
117001,898
120000,12947
120000,25639
120000,26346
120000,905
120000,5642
120000,893
120000,895
120000,1060
123001,28708
123001,9555
123001,14897
123001,4081
123001,10301
123001,2204
123001,16838
126000,31280
126000,8478
126000,14290
126000,3173
126000,9209
126000,3293
126000,26572
126000,1276
126000,6045
126000,6018
126000,13119
126000,17552
129001,6548
129001,4141
129001,894
129001,19197
132001,5113
132001,23940
132001,6341
132001,8673
132001,5474
132001,22146
132001,9721
132001,2224
132001,2872
132001,4606
132001,894
132001,24082
132001,9268
132001,2037
135000,4246
135000,9010
135000,900
135000,907
135000,31576
138000,22540
138000,28809
138000,4963
138000,912
138000,1333
138000,905
138000,1030
138000,5186
138000,1081
138000,62314
138000,2993
141001,7593
141001,1018
141001,5371
141001,60899
141001,994
141001,3007
141001,2598
141001,10407
141001,1029
141001,6804
141001,28188
141001,7295
144000,3315
144000,4377
144000,27357
144000,8990
144000,9248
144000,4680
144000,8907
144000,4456
144000,10198
144000,1037
147001,10167
147001,19128
147001,9872
147001,3348
150001,28442
150001,5720
150001,1127
150001,4490
150001,4446
150001,6100
150001,896
150001,36571
150001,1064
150001,24007
150001,1960
153001,963
153001,24620
153001,10911
153001,20298
153001,1116
153001,911
153001,13834
153001,9586
153001,11986
153001,909
153001,32822
153001,19321
153001,1236
153001,4975
153001,1118
153001,13225
153001,899
156000,10095
156000,17075
156000,7140
156000,43952
156000,7445
156000,3536
156000,1144
156000,15975
