arrival_time_ms,input_length
0,40682
2999,37815
2999,2360
2999,19971
2999,7751
2999,2740
2999,10959
2999,31027
2999,5437
2999,1462
2999,899
6000,19476
6000,10150
6000,1467
6000,4513
6000,15956
6000,17003
6000,5501
6000,3008
6000,2363
6000,1966
9000,910
9000,6744
9000,30565
9000,4686
9000,927
9000,3517
9000,27766
9000,10029
9000,6677
9000,1576
9000,10718
9000,12725
9000,4347
9000,1856
9000,9570
12000,10825
12000,9373
12000,9920
12000,21930
12000,29318
12000,4866
12000,901
12000,10473
12000,904
15000,63289
15000,896
15000,17191
15000,2433
15000,1059
15000,13576
15000,7889
15000,1461
15000,11914
15000,28610
15000,897
15000,12815
18000,7492
18000,1177
18000,12323
18000,902
18000,57274
18000,7775
21000,29454
21000,4598
21000,17393
21000,7417
21000,9886
21000,50116
21000,2239
21000,16593
21000,9888
21000,15847
21000,2144
21000,5349
21000,1487
21000,2460
21000,16318
23999,17766
23999,8424
23999,18346
23999,15320
23999,2765
23999,11830
23999,3538
23999,10479
23999,26503
23999,923
23999,13460
23999,25490
23999,2217
23999,1033
27000,32179
27000,4249
27000,905
27000,19232
27000,895
27000,5111
30000,14865
30000,4731
30000,893
30000,2064
30000,4016
30000,15315
30000,1213
30000,12989
30000,1902
30000,9330
30000,17289
32999,14086
32999,12786
32999,10650
32999,5315
32999,903
32999,10348
36000,27769
36000,24780
36000,4798
36000,4252
39000,4661
39000,5005
39000,46935
39000,1373
39000,8915
39000,2068
39000,4303
41999,7066
41999,1563
41999,895
41999,24875
41999,12274
41999,1076
41999,19498
41999,894
44999,1447
44999,61703
44999,9636
44999,14213
44999,10746
44999,1982
44999,17816
44999,1998
44999,1825
44999,24397
44999,1406
44999,17742
44999,4294
44999,3951
44999,11596
48000,1043
48000,12288
48000,15926
48000,1740
48000,2200
48000,23166
48000,5830
48000,3518
48000,2990
51000,4170
51000,13941
51000,42228
51000,36444
51000,12851
51000,8251
51000,13291
51000,4111
51000,11788
51000,1535
54000,26831
54000,11875
54000,2138
54000,10095
54000,8415
54000,38186
54000,18455
54000,2200
54000,11565
54000,8077
54000,26891
54000,7245
56999,896
56999,3349
56999,6543
56999,1560
56999,2353
56999,14757
56999,33936
59999,63649
59999,18571
59999,4748
59999,7965
59999,11563
59999,1402
59999,4987
59999,3397
59999,5337
63000,1873
63000,4991
63000,9889
63000,5306
63000,894
63000,4247
63000,16054
63000,16651
63000,7612
63000,30379
63000,891
63000,1099
63000,5216
63000,5312
63000,4729
63000,992
66000,5623
66000,14643
66000,2600
66000,896
66000,1298
66000,7259
66000,34141
66000,3936
66000,1044
66000,5780
69000,9685
69000,3618
69000,8534
69000,996
69000,4422
69000,1548
69000,4722
69000,55822
69000,2054
69000,1956
69000,6933
69000,4586
69000,3994
69000,2184
72000,55036
72000,3193
72000,3803
72000,5191
72000,1844
72000,25080
72000,6890
72000,33209
72000,14889
72000,17740
72000,1184
72000,24615
72000,1927
72000,36749
72000,18573
72000,4195
72000,31200
72000,6454
72000,5951
72000,6702
72000,19002
72000,57656
72000,24968
72000,9123
72000,897
72000,18298
72000,1264
74999,982
74999,900
74999,6121
74999,8826
74999,8176
74999,8003
74999,20052
74999,12796
74999,6265
74999,7579
74999,62882
74999,15879
74999,2300
74999,2421
74999,14380
77999,4479
77999,6174
77999,16800
77999,5818
77999,5239
77999,9937
77999,10461
77999,26816
77999,1612
77999,915
77999,32204
77999,34028
77999,22297
77999,5026
77999,1218
77999,4327
81000,1307
81000,14748
81000,21609
81000,18208
81000,905
81000,5180
81000,8473
81000,1405
84000,1632
84000,16216
84000,14383
84000,12101
84000,25433
84000,3765
84000,28074
84000,18073
84000,15542
84000,7114
84000,15715
84000,26285
84000,897
84000,897
87000,1230
87000,894
87000,9734
87000,1461
87000,7278
87000,899
87000,4115
87000,5900
87000,10522
87000,896
87000,892
87000,13608
89999,24100
89999,1646
89999,29881
89999,10714
89999,18271
89999,21258
89999,1754
89999,16806
89999,12033
89999,51365
89999,15231
89999,4108
93000,6601
93000,14643
93000,11742
93000,2680
93000,20125
93000,2736
93000,28253
93000,1817
93000,11241
93000,2145
93000,901
95999,19206
95999,893
95999,1456
95999,16864
95999,10021
95999,4679
99000,898
99000,1210
99000,14913
99000,986
99000,1619
102000,23839
102000,11602
102000,2686
102000,2959
102000,902
102000,43793
102000,2110
102000,989
102000,30778
102000,905
102000,1142
105000,4852
105000,4228
105000,4349
105000,7368
105000,8229
105000,12341
105000,928
105000,17442
105000,16991
105000,2947
105000,22190
105000,11296
105000,17346
108000,5647
108000,1668
108000,5141
108000,38496
108000,5989
108000,6809
108000,4991
108000,898
111000,2208
111000,7336
111000,912
111000,14867
111000,4832
111000,954
114000,2606
114000,4911
114000,902
114000,1681
114000,16101
114000,1255
114000,4914
114000,51559
117000,3825
117000,4523
117000,11048
117000,2114
117000,895
119999,896
119999,14862
119999,895
119999,1145
122999,6083
122999,1324
122999,16343
122999,6458
122999,3561
122999,9458
122999,3410
122999,21030
122999,9883
122999,3362
122999,14357
122999,897
126000,1559
126000,5269
126000,938
126000,1184
126000,10348
126000,898
126000,3943
126000,10121
126000,9119
126000,17015
126000,908
126000,3681
128999,8301
128999,11204
128999,6875
128999,1148
128999,4087
128999,1136
128999,4697
128999,896
128999,4089
128999,7914
128999,14407
128999,4014
132000,17676
132000,13484
132000,1268
132000,1092
132000,7885
132000,902
132000,15195
132000,6407
132000,1084
132000,6255
132000,15650
135000,9743
135000,3392
135000,3766
135000,5627
135000,5285
135000,7505
135000,37568
135000,955
135000,894
135000,5094
135000,4770
137999,10906
137999,1079
137999,5160
137999,6632
137999,2900
137999,5190
137999,8645
140999,899
140999,1438
140999,1067
140999,4477
140999,1105
140999,25593
140999,1582
140999,11863
140999,902
143999,1184
143999,21008
143999,3864
143999,19644
143999,8043
143999,9565
143999,7931
143999,6579
143999,908
143999,1145
147000,8940
147000,3486
147000,1412
147000,961
147000,8593
147000,1084
147000,6316
147000,23499
147000,3328
147000,30454
150000,37147
